Latitude,Longitude,Date,StartTime,EndTime,Det Flow*
57.149472,-2.097698,16/10/2019,00:00,00:15,128
57.149472,-2.097698,16/10/2019,00:15,00:30,116
57.149472,-2.097698,16/10/2019,00:30,00:45,72
57.149472,-2.097698,16/10/2019,00:45,01:00,80
57.149472,-2.097698,16/10/2019,01:00,01:15,88
57.149472,-2.097698,16/10/2019,01:15,01:30,68
57.149472,-2.097698,16/10/2019,01:30,01:45,72
57.149472,-2.097698,16/10/2019,01:45,02:00,92
57.149472,-2.097698,16/10/2019,02:00,02:15,140
57.149472,-2.097698,16/10/2019,02:15,02:30,136
57.149472,-2.097698,16/10/2019,02:30,02:45,140
57.149472,-2.097698,16/10/2019,02:45,03:00,124
57.149472,-2.097698,16/10/2019,03:00,03:15,60
57.149472,-2.097698,16/10/2019,03:15,03:30,52
57.149472,-2.097698,16/10/2019,03:30,03:45,56
57.149472,-2.097698,16/10/2019,03:45,04:00,48
57.149472,-2.097698,16/10/2019,04:00,04:15,48
57.149472,-2.097698,16/10/2019,04:15,04:30,16
57.149472,-2.097698,16/10/2019,04:30,04:45,44
57.149472,-2.097698,16/10/2019,04:45,05:00,40
57.149472,-2.097698,16/10/2019,05:00,05:15,64
57.149472,-2.097698,16/10/2019,05:15,05:30,72
57.149472,-2.097698,16/10/2019,05:30,05:45,88
57.149472,-2.097698,16/10/2019,05:45,06:00,100
57.149472,-2.097698,16/10/2019,06:00,06:15,112
57.149472,-2.097698,16/10/2019,06:15,06:30,116
57.149472,-2.097698,16/10/2019,06:30,06:45,164
57.149472,-2.097698,16/10/2019,06:45,07:00,236
57.149472,-2.097698,16/10/2019,07:00,07:15,192
57.149472,-2.097698,16/10/2019,07:15,07:30,220
57.149472,-2.097698,16/10/2019,07:30,07:45,316
57.149472,-2.097698,16/10/2019,07:45,08:00,384
57.149472,-2.097698,16/10/2019,08:00,08:15,336
57.149472,-2.097698,16/10/2019,08:15,08:30,376
57.149472,-2.097698,16/10/2019,08:30,08:45,416
57.149472,-2.097698,16/10/2019,08:45,09:00,388
57.149472,-2.097698,16/10/2019,09:00,09:15,340
57.149472,-2.097698,16/10/2019,09:15,09:30,276
57.149472,-2.097698,16/10/2019,09:30,09:45,248
57.149472,-2.097698,16/10/2019,09:45,10:00,328
57.149472,-2.097698,16/10/2019,10:00,10:15,336
57.149472,-2.097698,16/10/2019,10:15,10:30,348
57.149472,-2.097698,16/10/2019,10:30,10:45,392
57.149472,-2.097698,16/10/2019,10:45,11:00,352
57.149472,-2.097698,16/10/2019,11:00,11:15,372
57.149472,-2.097698,16/10/2019,11:15,11:30,400
57.149472,-2.097698,16/10/2019,11:30,11:45,316
57.149472,-2.097698,16/10/2019,11:45,12:00,440
57.149472,-2.097698,16/10/2019,12:00,12:15,380
57.149472,-2.097698,16/10/2019,12:15,12:30,432
57.149472,-2.097698,16/10/2019,12:30,12:45,396
57.149472,-2.097698,16/10/2019,12:45,13:00,360
57.149472,-2.097698,16/10/2019,13:00,13:15,384
57.149472,-2.097698,16/10/2019,13:15,13:30,396
57.149472,-2.097698,16/10/2019,13:30,13:45,376
57.149472,-2.097698,16/10/2019,13:45,14:00,408
57.149472,-2.097698,16/10/2019,14:00,14:15,356
57.149472,-2.097698,16/10/2019,14:15,14:30,420
57.149472,-2.097698,16/10/2019,14:30,14:45,376
57.149472,-2.097698,16/10/2019,14:45,15:00,376
57.149472,-2.097698,16/10/2019,15:00,15:15,440
57.149472,-2.097698,16/10/2019,15:15,15:30,476
57.149472,-2.097698,16/10/2019,15:30,15:45,436
57.149472,-2.097698,16/10/2019,15:45,16:00,384
57.149472,-2.097698,16/10/2019,16:00,16:15,428
57.149472,-2.097698,16/10/2019,16:15,16:30,528
57.149472,-2.097698,16/10/2019,16:30,16:45,412
57.149472,-2.097698,16/10/2019,16:45,17:00,464
57.149472,-2.097698,16/10/2019,17:00,17:15,564
57.149472,-2.097698,16/10/2019,17:15,17:30,476
57.149472,-2.097698,16/10/2019,17:30,17:45,496
57.149472,-2.097698,16/10/2019,17:45,18:00,468
57.149472,-2.097698,16/10/2019,18:00,18:15,460
57.149472,-2.097698,16/10/2019,18:15,18:30,396
57.149472,-2.097698,16/10/2019,18:30,18:45,376
57.149472,-2.097698,16/10/2019,18:45,19:00,380
57.149472,-2.097698,16/10/2019,19:00,19:15,356
57.149472,-2.097698,16/10/2019,19:15,19:30,408
57.149472,-2.097698,16/10/2019,19:30,19:45,316
57.149472,-2.097698,16/10/2019,19:45,20:00,272
57.149472,-2.097698,16/10/2019,20:00,20:15,272
57.149472,-2.097698,16/10/2019,20:15,20:30,320
57.149472,-2.097698,16/10/2019,20:30,20:45,292
57.149472,-2.097698,16/10/2019,20:45,21:00,312
57.149472,-2.097698,16/10/2019,21:00,21:15,284
57.149472,-2.097698,16/10/2019,21:15,21:30,212
57.149472,-2.097698,16/10/2019,21:30,21:45,252
57.149472,-2.097698,16/10/2019,21:45,22:00,244
57.149472,-2.097698,16/10/2019,22:00,22:15,264
57.149472,-2.097698,16/10/2019,22:15,22:30,284
57.149472,-2.097698,16/10/2019,22:30,22:45,188
57.149472,-2.097698,16/10/2019,22:45,23:00,208
57.149472,-2.097698,16/10/2019,23:00,23:15,216
57.149472,-2.097698,16/10/2019,23:15,23:30,212
57.149472,-2.097698,16/10/2019,23:30,23:45,168
57.149472,-2.097698,16/10/2019,23:45,24:00:00,144
57.149472,-2.097698,17/10/2019,00:00,00:15,164
57.149472,-2.097698,17/10/2019,00:15,00:30,152
57.149472,-2.097698,17/10/2019,00:30,00:45,112
57.149472,-2.097698,17/10/2019,00:45,01:00,112
57.149472,-2.097698,17/10/2019,01:00,01:15,100
57.149472,-2.097698,17/10/2019,01:15,01:30,120
57.149472,-2.097698,17/10/2019,01:30,01:45,92
57.149472,-2.097698,17/10/2019,01:45,02:00,124
57.149472,-2.097698,17/10/2019,02:00,02:15,152
57.149472,-2.097698,17/10/2019,02:15,02:30,128
57.149472,-2.097698,17/10/2019,02:30,02:45,132
57.149472,-2.097698,17/10/2019,02:45,03:00,132
57.149472,-2.097698,17/10/2019,03:00,03:15,104
57.149472,-2.097698,17/10/2019,03:15,03:30,64
57.149472,-2.097698,17/10/2019,03:30,03:45,56
57.149472,-2.097698,17/10/2019,03:45,04:00,20
57.149472,-2.097698,17/10/2019,04:00,04:15,8
57.149472,-2.097698,17/10/2019,04:15,04:30,28
57.149472,-2.097698,17/10/2019,04:30,04:45,56
57.149472,-2.097698,17/10/2019,04:45,05:00,32
57.149472,-2.097698,17/10/2019,05:00,05:15,56
57.149472,-2.097698,17/10/2019,05:15,05:30,92
57.149472,-2.097698,17/10/2019,05:30,05:45,48
57.149472,-2.097698,17/10/2019,05:45,06:00,112
57.149472,-2.097698,17/10/2019,06:00,06:15,92
57.149472,-2.097698,17/10/2019,06:15,06:30,108
57.149472,-2.097698,17/10/2019,06:30,06:45,176
57.149472,-2.097698,17/10/2019,06:45,07:00,244
57.149472,-2.097698,17/10/2019,07:00,07:15,204
57.149472,-2.097698,17/10/2019,07:15,07:30,212
57.149472,-2.097698,17/10/2019,07:30,07:45,340
57.149472,-2.097698,17/10/2019,07:45,08:00,340
57.149472,-2.097698,17/10/2019,08:00,08:15,324
57.149472,-2.097698,17/10/2019,08:15,08:30,312
57.149472,-2.097698,17/10/2019,08:30,08:45,372
57.149472,-2.097698,17/10/2019,08:45,09:00,440
57.149472,-2.097698,17/10/2019,09:00,09:15,368
57.149472,-2.097698,17/10/2019,09:15,09:30,340
57.149472,-2.097698,17/10/2019,09:30,09:45,316
57.149472,-2.097698,17/10/2019,09:45,10:00,356
57.149472,-2.097698,17/10/2019,10:00,10:15,324
57.149472,-2.097698,17/10/2019,10:15,10:30,340
57.149472,-2.097698,17/10/2019,10:30,10:45,312
57.149472,-2.097698,17/10/2019,10:45,11:00,376
57.149472,-2.097698,17/10/2019,11:00,11:15,280
57.149472,-2.097698,17/10/2019,11:15,11:30,400
57.149472,-2.097698,17/10/2019,11:30,11:45,392
57.149472,-2.097698,17/10/2019,11:45,12:00,308
57.149472,-2.097698,17/10/2019,12:00,12:15,440
57.149472,-2.097698,17/10/2019,12:15,12:30,340
57.149472,-2.097698,17/10/2019,12:30,12:45,476
57.149472,-2.097698,17/10/2019,12:45,13:00,352
57.149472,-2.097698,17/10/2019,13:00,13:15,356
57.149472,-2.097698,17/10/2019,13:15,13:30,364
57.149472,-2.097698,17/10/2019,13:30,13:45,460
57.149472,-2.097698,17/10/2019,13:45,14:00,384
57.149472,-2.097698,17/10/2019,14:00,14:15,360
57.149472,-2.097698,17/10/2019,14:15,14:30,396
57.149472,-2.097698,17/10/2019,14:30,14:45,400
57.149472,-2.097698,17/10/2019,14:45,15:00,376
57.149472,-2.097698,17/10/2019,15:00,15:15,460
57.149472,-2.097698,17/10/2019,15:15,15:30,456
57.149472,-2.097698,17/10/2019,15:30,15:45,412
57.149472,-2.097698,17/10/2019,15:45,16:00,512
57.149472,-2.097698,17/10/2019,16:00,16:15,380
57.149472,-2.097698,17/10/2019,16:15,16:30,456
57.149472,-2.097698,17/10/2019,16:30,16:45,468
57.149472,-2.097698,17/10/2019,16:45,17:00,476
57.149472,-2.097698,17/10/2019,17:00,17:15,608
57.149472,-2.097698,17/10/2019,17:15,17:30,484
57.149472,-2.097698,17/10/2019,17:30,17:45,588
57.149472,-2.097698,17/10/2019,17:45,18:00,404
57.149472,-2.097698,17/10/2019,18:00,18:15,440
57.149472,-2.097698,17/10/2019,18:15,18:30,384
57.149472,-2.097698,17/10/2019,18:30,18:45,432
57.149472,-2.097698,17/10/2019,18:45,19:00,352
57.149472,-2.097698,17/10/2019,19:00,19:15,368
57.149472,-2.097698,17/10/2019,19:15,19:30,380
57.149472,-2.097698,17/10/2019,19:30,19:45,380
57.149472,-2.097698,17/10/2019,19:45,20:00,308
57.149472,-2.097698,17/10/2019,20:00,20:15,284
57.149472,-2.097698,17/10/2019,20:15,20:30,284
57.149472,-2.097698,17/10/2019,20:30,20:45,380
57.149472,-2.097698,17/10/2019,20:45,21:00,280
57.149472,-2.097698,17/10/2019,21:00,21:15,288
57.149472,-2.097698,17/10/2019,21:15,21:30,276
57.149472,-2.097698,17/10/2019,21:30,21:45,284
57.149472,-2.097698,17/10/2019,21:45,22:00,292
57.149472,-2.097698,17/10/2019,22:00,22:15,284
57.149472,-2.097698,17/10/2019,22:15,22:30,288
57.149472,-2.097698,17/10/2019,22:30,22:45,236
57.149472,-2.097698,17/10/2019,22:45,23:00,152
57.149472,-2.097698,17/10/2019,23:00,23:15,216
57.149472,-2.097698,17/10/2019,23:15,23:30,184
57.149472,-2.097698,17/10/2019,23:30,23:45,224
57.149472,-2.097698,17/10/2019,23:45,24:00:00,160
57.149472,-2.097698,18/10/2019,00:00,00:15,184
57.149472,-2.097698,18/10/2019,00:15,00:30,148
57.149472,-2.097698,18/10/2019,00:30,00:45,108
57.149472,-2.097698,18/10/2019,00:45,01:00,72
57.149472,-2.097698,18/10/2019,01:00,01:15,108
57.149472,-2.097698,18/10/2019,01:15,01:30,112
57.149472,-2.097698,18/10/2019,01:30,01:45,96
57.149472,-2.097698,18/10/2019,01:45,02:00,92
57.149472,-2.097698,18/10/2019,02:00,02:15,164
57.149472,-2.097698,18/10/2019,02:15,02:30,152
57.149472,-2.097698,18/10/2019,02:30,02:45,116
57.149472,-2.097698,18/10/2019,02:45,03:00,124
57.149472,-2.097698,18/10/2019,03:00,03:15,88
57.149472,-2.097698,18/10/2019,03:15,03:30,60
57.149472,-2.097698,18/10/2019,03:30,03:45,48
57.149472,-2.097698,18/10/2019,03:45,04:00,40
57.149472,-2.097698,18/10/2019,04:00,04:15,36
57.149472,-2.097698,18/10/2019,04:15,04:30,48
57.149472,-2.097698,18/10/2019,04:30,04:45,24
57.149472,-2.097698,18/10/2019,04:45,05:00,56
57.149472,-2.097698,18/10/2019,05:00,05:15,56
57.149472,-2.097698,18/10/2019,05:15,05:30,76
57.149472,-2.097698,18/10/2019,05:30,05:45,84
57.149472,-2.097698,18/10/2019,05:45,06:00,76
57.149472,-2.097698,18/10/2019,06:00,06:15,96
57.149472,-2.097698,18/10/2019,06:15,06:30,112
57.149472,-2.097698,18/10/2019,06:30,06:45,180
57.149472,-2.097698,18/10/2019,06:45,07:00,288
57.149472,-2.097698,18/10/2019,07:00,07:15,208
57.149472,-2.097698,18/10/2019,07:15,07:30,260
57.149472,-2.097698,18/10/2019,07:30,07:45,268
57.149472,-2.097698,18/10/2019,07:45,08:00,388
57.149472,-2.097698,18/10/2019,08:00,08:15,372
57.149472,-2.097698,18/10/2019,08:15,08:30,348
57.149472,-2.097698,18/10/2019,08:30,08:45,356
57.149472,-2.097698,18/10/2019,08:45,09:00,356
57.149472,-2.097698,18/10/2019,09:00,09:15,300
57.149472,-2.097698,18/10/2019,09:15,09:30,296
57.149472,-2.097698,18/10/2019,09:30,09:45,320
57.149472,-2.097698,18/10/2019,09:45,10:00,368
57.149472,-2.097698,18/10/2019,10:00,10:15,340
57.149472,-2.097698,18/10/2019,10:15,10:30,392
57.149472,-2.097698,18/10/2019,10:30,10:45,424
57.149472,-2.097698,18/10/2019,10:45,11:00,384
57.149472,-2.097698,18/10/2019,11:00,11:15,376
57.149472,-2.097698,18/10/2019,11:15,11:30,388
57.149472,-2.097698,18/10/2019,11:30,11:45,396
57.149472,-2.097698,18/10/2019,11:45,12:00,368
57.149472,-2.097698,18/10/2019,12:00,12:15,428
57.149472,-2.097698,18/10/2019,12:15,12:30,392
57.149472,-2.097698,18/10/2019,12:30,12:45,476
57.149472,-2.097698,18/10/2019,12:45,13:00,384
57.149472,-2.097698,18/10/2019,13:00,13:15,420
57.149472,-2.097698,18/10/2019,13:15,13:30,456
57.149472,-2.097698,18/10/2019,13:30,13:45,448
57.149472,-2.097698,18/10/2019,13:45,14:00,412
57.149472,-2.097698,18/10/2019,14:00,14:15,448
57.149472,-2.097698,18/10/2019,14:15,14:30,484
57.149472,-2.097698,18/10/2019,14:30,14:45,448
57.149472,-2.097698,18/10/2019,14:45,15:00,476
57.149472,-2.097698,18/10/2019,15:00,15:15,400
57.149472,-2.097698,18/10/2019,15:15,15:30,436
57.149472,-2.097698,18/10/2019,15:30,15:45,440
57.149472,-2.097698,18/10/2019,15:45,16:00,456
57.149472,-2.097698,18/10/2019,16:00,16:15,504
57.149472,-2.097698,18/10/2019,16:15,16:30,496
57.149472,-2.097698,18/10/2019,16:30,16:45,532
57.149472,-2.097698,18/10/2019,16:45,17:00,484
57.149472,-2.097698,18/10/2019,17:00,17:15,516
57.149472,-2.097698,18/10/2019,17:15,17:30,556
57.149472,-2.097698,18/10/2019,17:30,17:45,468
57.149472,-2.097698,18/10/2019,17:45,18:00,352
57.149472,-2.097698,18/10/2019,18:00,18:15,488
57.149472,-2.097698,18/10/2019,18:15,18:30,520
57.149472,-2.097698,18/10/2019,18:30,18:45,436
57.149472,-2.097698,18/10/2019,18:45,19:00,436
57.149472,-2.097698,18/10/2019,19:00,19:15,360
57.149472,-2.097698,18/10/2019,19:15,19:30,500
57.149472,-2.097698,18/10/2019,19:30,19:45,376
57.149472,-2.097698,18/10/2019,19:45,20:00,368
57.149472,-2.097698,18/10/2019,20:00,20:15,376
57.149472,-2.097698,18/10/2019,20:15,20:30,488
57.149472,-2.097698,18/10/2019,20:30,20:45,288
57.149472,-2.097698,18/10/2019,20:45,21:00,320
57.149472,-2.097698,18/10/2019,21:00,21:15,432
57.149472,-2.097698,18/10/2019,21:15,21:30,308
57.149472,-2.097698,18/10/2019,21:30,21:45,320
57.149472,-2.097698,18/10/2019,21:45,22:00,316
57.149472,-2.097698,18/10/2019,22:00,22:15,304
57.149472,-2.097698,18/10/2019,22:15,22:30,360
57.149472,-2.097698,18/10/2019,22:30,22:45,284
57.149472,-2.097698,18/10/2019,22:45,23:00,312
57.149472,-2.097698,18/10/2019,23:00,23:15,316
57.149472,-2.097698,18/10/2019,23:15,23:30,256
57.149472,-2.097698,18/10/2019,23:30,23:45,280
57.149472,-2.097698,18/10/2019,23:45,24:00:00,236
57.149472,-2.097698,19/10/2019,00:00,00:15,244
57.149472,-2.097698,19/10/2019,00:15,00:30,216
57.149472,-2.097698,19/10/2019,00:30,00:45,212
57.149472,-2.097698,19/10/2019,00:45,01:00,216
57.149472,-2.097698,19/10/2019,01:00,01:15,204
57.149472,-2.097698,19/10/2019,01:15,01:30,196
