Latitude,Longitude,Date,StartTime,EndTime,Amount
57.148295,-2.099331,29/07/2020,00:00,00:15,32
57.148295,-2.099331,29/07/2020,00:15,00:30,8
57.148295,-2.099331,29/07/2020,00:30,00:45,32
57.148295,-2.099331,29/07/2020,00:45,01:00,20
57.148295,-2.099331,29/07/2020,01:00,01:15,24
57.148295,-2.099331,29/07/2020,01:15,01:30,16
57.148295,-2.099331,29/07/2020,01:30,01:45,12
57.148295,-2.099331,29/07/2020,01:45,02:00,12
57.148295,-2.099331,29/07/2020,02:00,02:15,36
57.148295,-2.099331,29/07/2020,02:15,02:30,12
57.148295,-2.099331,29/07/2020,02:30,02:45,12
57.148295,-2.099331,29/07/2020,02:45,03:00,16
57.148295,-2.099331,29/07/2020,03:00,03:15,24
57.148295,-2.099331,29/07/2020,03:15,03:30,0
57.148295,-2.099331,29/07/2020,03:30,03:45,12
57.148295,-2.099331,29/07/2020,03:45,04:00,0
57.148295,-2.099331,29/07/2020,04:00,04:15,12
57.148295,-2.099331,29/07/2020,04:15,04:30,20
57.148295,-2.099331,29/07/2020,04:30,04:45,12
57.148295,-2.099331,29/07/2020,04:45,05:00,28
57.148295,-2.099331,29/07/2020,05:00,05:15,36
57.148295,-2.099331,29/07/2020,05:15,05:30,28
57.148295,-2.099331,29/07/2020,05:30,05:45,36
57.148295,-2.099331,29/07/2020,05:45,06:00,68
57.148295,-2.099331,29/07/2020,06:00,06:15,40
57.148295,-2.099331,29/07/2020,06:15,06:30,52
57.148295,-2.099331,29/07/2020,06:30,06:45,64
57.148295,-2.099331,29/07/2020,06:45,07:00,100
57.148295,-2.099331,29/07/2020,07:00,07:15,76
57.148295,-2.099331,29/07/2020,07:15,07:30,92
57.148295,-2.099331,29/07/2020,07:30,07:45,108
57.148295,-2.099331,29/07/2020,07:45,08:00,112
57.148295,-2.099331,29/07/2020,08:00,08:15,92
57.148295,-2.099331,29/07/2020,08:15,08:30,132
57.148295,-2.099331,29/07/2020,08:30,08:45,92
57.148295,-2.099331,29/07/2020,08:45,09:00,160
57.148295,-2.099331,29/07/2020,09:00,09:15,148
57.148295,-2.099331,29/07/2020,09:15,09:30,100
57.148295,-2.099331,29/07/2020,09:30,09:45,172
57.148295,-2.099331,29/07/2020,09:45,10:00,140
57.148295,-2.099331,29/07/2020,10:00,10:15,120
57.148295,-2.099331,29/07/2020,10:15,10:30,120
57.148295,-2.099331,29/07/2020,10:30,10:45,136
57.148295,-2.099331,29/07/2020,10:45,11:00,164
57.148295,-2.099331,29/07/2020,11:00,11:15,136
57.148295,-2.099331,29/07/2020,11:15,11:30,160
57.148295,-2.099331,29/07/2020,11:30,11:45,132
57.148295,-2.099331,29/07/2020,11:45,12:00,180
57.148295,-2.099331,29/07/2020,12:00,12:15,140
57.148295,-2.099331,29/07/2020,12:15,12:30,168
57.148295,-2.099331,29/07/2020,12:30,12:45,168
57.148295,-2.099331,29/07/2020,12:45,13:00,176
57.148295,-2.099331,29/07/2020,13:00,13:15,176
57.148295,-2.099331,29/07/2020,13:15,13:30,172
57.148295,-2.099331,29/07/2020,13:30,13:45,172
57.148295,-2.099331,29/07/2020,13:45,14:00,180
57.148295,-2.099331,29/07/2020,14:00,14:15,156
57.148295,-2.099331,29/07/2020,14:15,14:30,144
57.148295,-2.099331,29/07/2020,14:30,14:45,216
57.148295,-2.099331,29/07/2020,14:45,15:00,188
57.148295,-2.099331,29/07/2020,15:00,15:15,224
57.148295,-2.099331,29/07/2020,15:15,15:30,192
57.148295,-2.099331,29/07/2020,15:30,15:45,164
57.148295,-2.099331,29/07/2020,15:45,16:00,184
57.148295,-2.099331,29/07/2020,16:00,16:15,176
57.148295,-2.099331,29/07/2020,16:15,16:30,164
57.148295,-2.099331,29/07/2020,16:30,16:45,168
57.148295,-2.099331,29/07/2020,16:45,17:00,164
57.148295,-2.099331,29/07/2020,17:00,17:15,168
57.148295,-2.099331,29/07/2020,17:15,17:30,188
57.148295,-2.099331,29/07/2020,17:30,17:45,184
57.148295,-2.099331,29/07/2020,17:45,18:00,164
57.148295,-2.099331,29/07/2020,18:00,18:15,156
57.148295,-2.099331,29/07/2020,18:15,18:30,124
57.148295,-2.099331,29/07/2020,18:30,18:45,128
57.148295,-2.099331,29/07/2020,18:45,19:00,152
57.148295,-2.099331,29/07/2020,19:00,19:15,148
57.148295,-2.099331,29/07/2020,19:15,19:30,128
57.148295,-2.099331,29/07/2020,19:30,19:45,108
57.148295,-2.099331,29/07/2020,19:45,20:00,124
57.148295,-2.099331,29/07/2020,20:00,20:15,132
57.148295,-2.099331,29/07/2020,20:15,20:30,72
57.148295,-2.099331,29/07/2020,20:30,20:45,68
57.148295,-2.099331,29/07/2020,20:45,21:00,88
57.148295,-2.099331,29/07/2020,21:00,21:15,76
57.148295,-2.099331,29/07/2020,21:15,21:30,80
57.148295,-2.099331,29/07/2020,21:30,21:45,80
57.148295,-2.099331,29/07/2020,21:45,22:00,80
57.148295,-2.099331,29/07/2020,22:00,22:15,80
57.148295,-2.099331,29/07/2020,22:15,22:30,52
57.148295,-2.099331,29/07/2020,22:30,22:45,48
57.148295,-2.099331,29/07/2020,22:45,23:00,80
57.148295,-2.099331,29/07/2020,23:00,23:15,56
57.148295,-2.099331,29/07/2020,23:15,23:30,64
57.148295,-2.099331,29/07/2020,23:30,23:45,36
57.148295,-2.099331,29/07/2020,23:45,24:00:00,88
57.148295,-2.099331,30/07/2020,00:00,00:15,60
57.148295,-2.099331,30/07/2020,00:15,00:30,32
57.148295,-2.099331,30/07/2020,00:30,00:45,40
57.148295,-2.099331,30/07/2020,00:45,01:00,24
57.148295,-2.099331,30/07/2020,01:00,01:15,28
57.148295,-2.099331,30/07/2020,01:15,01:30,20
57.148295,-2.099331,30/07/2020,01:30,01:45,16
57.148295,-2.099331,30/07/2020,01:45,02:00,32
57.148295,-2.099331,30/07/2020,02:00,02:15,32
57.148295,-2.099331,30/07/2020,02:15,02:30,16
57.148295,-2.099331,30/07/2020,02:30,02:45,8
57.148295,-2.099331,30/07/2020,02:45,03:00,0
57.148295,-2.099331,30/07/2020,03:00,03:15,12
57.148295,-2.099331,30/07/2020,03:15,03:30,12
57.148295,-2.099331,30/07/2020,03:30,03:45,16
57.148295,-2.099331,30/07/2020,03:45,04:00,4
57.148295,-2.099331,30/07/2020,04:00,04:15,0
57.148295,-2.099331,30/07/2020,04:15,04:30,8
57.148295,-2.099331,30/07/2020,04:30,04:45,12
57.148295,-2.099331,30/07/2020,04:45,05:00,24
57.148295,-2.099331,30/07/2020,05:00,05:15,28
57.148295,-2.099331,30/07/2020,05:15,05:30,40
57.148295,-2.099331,30/07/2020,05:30,05:45,32
57.148295,-2.099331,30/07/2020,05:45,06:00,56
57.148295,-2.099331,30/07/2020,06:00,06:15,56
57.148295,-2.099331,30/07/2020,06:15,06:30,68
57.148295,-2.099331,30/07/2020,06:30,06:45,64
57.148295,-2.099331,30/07/2020,06:45,07:00,100
57.148295,-2.099331,30/07/2020,07:00,07:15,76
57.148295,-2.099331,30/07/2020,07:15,07:30,112
57.148295,-2.099331,30/07/2020,07:30,07:45,120
57.148295,-2.099331,30/07/2020,07:45,08:00,96
57.148295,-2.099331,30/07/2020,08:00,08:15,104
57.148295,-2.099331,30/07/2020,08:15,08:30,100
57.148295,-2.099331,30/07/2020,08:30,08:45,124
57.148295,-2.099331,30/07/2020,08:45,09:00,116
57.148295,-2.099331,30/07/2020,09:00,09:15,116
57.148295,-2.099331,30/07/2020,09:15,09:30,120
57.148295,-2.099331,30/07/2020,09:30,09:45,132
57.148295,-2.099331,30/07/2020,09:45,10:00,160
57.148295,-2.099331,30/07/2020,10:00,10:15,132
57.148295,-2.099331,30/07/2020,10:15,10:30,128
57.148295,-2.099331,30/07/2020,10:30,10:45,172
57.148295,-2.099331,30/07/2020,10:45,11:00,100
57.148295,-2.099331,30/07/2020,11:00,11:15,164
57.148295,-2.099331,30/07/2020,11:15,11:30,160
57.148295,-2.099331,30/07/2020,11:30,11:45,120
57.148295,-2.099331,30/07/2020,11:45,12:00,156
57.148295,-2.099331,30/07/2020,12:00,12:15,164
57.148295,-2.099331,30/07/2020,12:15,12:30,180
57.148295,-2.099331,30/07/2020,12:30,12:45,192
57.148295,-2.099331,30/07/2020,12:45,13:00,152
57.148295,-2.099331,30/07/2020,13:00,13:15,172
57.148295,-2.099331,30/07/2020,13:15,13:30,108
57.148295,-2.099331,30/07/2020,13:30,13:45,220
57.148295,-2.099331,30/07/2020,13:45,14:00,172
57.148295,-2.099331,30/07/2020,14:00,14:15,188
57.148295,-2.099331,30/07/2020,14:15,14:30,196
57.148295,-2.099331,30/07/2020,14:30,14:45,132
57.148295,-2.099331,30/07/2020,14:45,15:00,188
57.148295,-2.099331,30/07/2020,15:00,15:15,216
