Site,Day,Date,StartTime,EndTime,Amount
57.145859,-2.101296,13/07/2019,04:45,05:00,103
57.145859,-2.101296,13/07/2019,05:00,05:15,64
57.145859,-2.101296,13/07/2019,05:15,05:30,113
57.145859,-2.101296,13/07/2019,05:30,05:45,165
57.145859,-2.101296,13/07/2019,05:45,06:00,125
57.145859,-2.101296,13/07/2019,06:00,06:15,170
57.145859,-2.101296,13/07/2019,06:15,06:30,148
57.145859,-2.101296,13/07/2019,06:30,06:45,132
57.145859,-2.101296,13/07/2019,06:45,07:00,160
57.145859,-2.101296,13/07/2019,07:00,07:15,101
57.145859,-2.101296,13/07/2019,07:15,07:30,130
57.145859,-2.101296,13/07/2019,07:30,07:45,169
57.145859,-2.101296,13/07/2019,07:45,08:00,221
57.145859,-2.101296,13/07/2019,08:00,08:15,170
57.145859,-2.101296,13/07/2019,08:15,08:30,180
57.145859,-2.101296,13/07/2019,08:30,08:45,248
57.145859,-2.101296,13/07/2019,08:45,09:00,276
57.145859,-2.101296,13/07/2019,09:00,09:15,357
57.145859,-2.101296,13/07/2019,09:15,09:30,271
57.145859,-2.101296,13/07/2019,09:30,09:45,326
57.145859,-2.101296,13/07/2019,09:45,10:00,367
57.145859,-2.101296,13/07/2019,10:00,10:15,375
57.145859,-2.101296,13/07/2019,10:15,10:30,388
57.145859,-2.101296,13/07/2019,10:30,10:45,430
57.145859,-2.101296,13/07/2019,10:45,11:00,559
57.145859,-2.101296,13/07/2019,11:00,11:15,380
57.145859,-2.101296,13/07/2019,11:15,11:30,550
57.145859,-2.101296,13/07/2019,11:30,11:45,476
57.145859,-2.101296,13/07/2019,11:45,12:00,562
57.145859,-2.101296,13/07/2019,12:00,12:15,476
57.145859,-2.101296,13/07/2019,12:15,12:30,542
57.145859,-2.101296,13/07/2019,12:30,12:45,406
57.145859,-2.101296,13/07/2019,12:45,13:00,579
57.145859,-2.101296,13/07/2019,13:00,13:15,652
57.145859,-2.101296,13/07/2019,13:15,13:30,564
57.145859,-2.101296,13/07/2019,13:30,13:45,496
57.145859,-2.101296,13/07/2019,13:45,14:00,652
57.145859,-2.101296,13/07/2019,14:00,14:15,590
57.145859,-2.101296,13/07/2019,14:15,14:30,554
57.145859,-2.101296,13/07/2019,14:30,14:45,468
57.145859,-2.101296,13/07/2019,14:45,15:00,480
57.145859,-2.101296,13/07/2019,15:00,15:15,637
57.145859,-2.101296,13/07/2019,15:15,15:30,450
57.145859,-2.101296,13/07/2019,15:30,15:45,549
57.145859,-2.101296,13/07/2019,15:45,16:00,351
57.145859,-2.101296,13/07/2019,16:00,16:15,733
57.145859,-2.101296,13/07/2019,16:15,16:30,439
57.145859,-2.101296,13/07/2019,16:30,16:45,540
57.145859,-2.101296,13/07/2019,16:45,17:00,435
57.145859,-2.101296,13/07/2019,17:00,17:15,557
57.145859,-2.101296,13/07/2019,17:15,17:30,463
57.145859,-2.101296,13/07/2019,17:30,17:45,485
57.145859,-2.101296,13/07/2019,17:45,18:00,442
57.145859,-2.101296,13/07/2019,18:00,18:15,562
57.145859,-2.101296,13/07/2019,18:15,18:30,585
57.145859,-2.101296,13/07/2019,18:30,18:45,418
57.145859,-2.101296,13/07/2019,18:45,19:00,562
57.145859,-2.101296,13/07/2019,19:00,19:15,450
57.145859,-2.101296,13/07/2019,19:15,19:30,484
57.145859,-2.101296,13/07/2019,19:30,19:45,494
57.145859,-2.101296,13/07/2019,19:45,20:00,460
57.145859,-2.101296,13/07/2019,20:00,20:15,436
57.145859,-2.101296,13/07/2019,20:15,20:30,463
57.145859,-2.101296,13/07/2019,20:30,20:45,393
57.145859,-2.101296,13/07/2019,20:45,21:00,463
57.145859,-2.101296,13/07/2019,21:00,21:15,442
57.145859,-2.101296,13/07/2019,21:15,21:30,421
57.145859,-2.101296,13/07/2019,21:30,21:45,440
57.145859,-2.101296,13/07/2019,21:45,22:00,303
57.145859,-2.101296,13/07/2019,22:00,22:15,438
57.145859,-2.101296,13/07/2019,22:15,22:30,365
57.145859,-2.101296,13/07/2019,22:30,22:45,308
57.145859,-2.101296,13/07/2019,22:45,23:00,263
57.145859,-2.101296,13/07/2019,23:00,23:15,360
57.145859,-2.101296,13/07/2019,23:15,23:30,408
57.145859,-2.101296,13/07/2019,23:30,23:45,340
57.145859,-2.101296,13/07/2019,23:45,24:00:00,288
57.145859,-2.101296,14/07/2019,00:00,00:15,318
57.145859,-2.101296,14/07/2019,00:15,00:30,238
57.145859,-2.101296,14/07/2019,00:30,00:45,255
57.145859,-2.101296,14/07/2019,00:45,01:00,342
57.145859,-2.101296,14/07/2019,01:00,01:15,270
57.145859,-2.101296,14/07/2019,01:15,01:30,229
57.145859,-2.101296,14/07/2019,01:30,01:45,279
57.145859,-2.101296,14/07/2019,01:45,02:00,227
57.145859,-2.101296,14/07/2019,02:00,02:15,197
57.145859,-2.101296,14/07/2019,02:15,02:30,204
57.145859,-2.101296,14/07/2019,02:30,02:45,182
57.145859,-2.101296,14/07/2019,02:45,03:00,261
57.145859,-2.101296,14/07/2019,03:00,03:15,221
57.145859,-2.101296,14/07/2019,03:15,03:30,197
57.145859,-2.101296,14/07/2019,03:30,03:45,243
57.145859,-2.101296,14/07/2019,03:45,04:00,158
57.145859,-2.101296,14/07/2019,04:00,04:15,185
57.145859,-2.101296,14/07/2019,04:15,04:30,193
57.145859,-2.101296,14/07/2019,04:30,04:45,173
57.145859,-2.101296,14/07/2019,04:45,05:00,165
