Site,Day,Date,StartTime,EndTime,Flow
N01171A,TH,17-10-2019,07:45,08:00,632
N01171A,TH,17-10-2019,08:00,08:15,412
N01171A,TH,17-10-2019,08:15,08:30,404
N01171A,TH,17-10-2019,08:30,08:45,560
N01171A,TH,17-10-2019,08:45,09:00,447
N01171A,TH,17-10-2019,09:00,09:15,317
N01171A,TH,17-10-2019,09:15,09:30,290
N01171A,TH,17-10-2019,09:30,09:45,318
N01171A,TH,17-10-2019,09:45,10:00,370
N01171A,TH,17-10-2019,10:00,10:15,396
N01171A,TH,17-10-2019,10:15,10:30,306
N01171A,TH,17-10-2019,10:30,10:45,346
N01171A,TH,17-10-2019,10:45,11:00,406
N01171A,TH,17-10-2019,11:00,11:15,361
N01171A,TH,17-10-2019,11:15,11:30,454
N01171A,TH,17-10-2019,11:30,11:45,406
N01171A,TH,17-10-2019,11:45,12:00,405
N01171A,TH,17-10-2019,12:00,12:15,599
N01171A,TH,17-10-2019,12:15,12:30,459
N01171A,TH,17-10-2019,12:30,12:45,404
N01171A,TH,17-10-2019,12:45,13:00,478
N01171A,TH,17-10-2019,13:00,13:15,364
N01171A,TH,17-10-2019,13:15,13:30,471
N01171A,TH,17-10-2019,13:30,13:45,431
N01171A,TH,17-10-2019,13:45,14:00,425
N01171A,TH,17-10-2019,14:00,14:15,458
N01171A,TH,17-10-2019,14:15,14:30,443
N01171A,TH,17-10-2019,14:30,14:45,528
N01171A,TH,17-10-2019,14:45,15:00,526
N01171A,TH,17-10-2019,15:00,15:15,443
N01171A,TH,17-10-2019,15:15,15:30,441
N01171A,TH,17-10-2019,15:30,15:45,421
N01171A,TH,17-10-2019,15:45,16:00,465
N01171A,TH,17-10-2019,16:00,16:15,508
N01171A,TH,17-10-2019,16:15,16:30,588
N01171A,TH,17-10-2019,16:30,16:45,460
N01171A,TH,17-10-2019,16:45,17:00,646
N01171A,TH,17-10-2019,17:00,17:15,535
N01171A,TH,17-10-2019,17:15,17:30,639
N01171A,TH,17-10-2019,17:30,17:45,583
N01171A,TH,17-10-2019,17:45,18:00,511
N01171A,TH,17-10-2019,18:00,18:15,428
N01171A,TH,17-10-2019,18:15,18:30,490
N01171A,TH,17-10-2019,18:30,18:45,478
N01171A,TH,17-10-2019,18:45,19:00,479
N01171A,TH,17-10-2019,19:00,19:15,393
N01171A,TH,17-10-2019,19:15,19:30,463
N01171A,TH,17-10-2019,19:30,19:45,317
N01171A,TH,17-10-2019,19:45,20:00,302
N01171A,TH,17-10-2019,20:00,20:15,316
N01171A,TH,17-10-2019,20:15,20:30,358
N01171A,TH,17-10-2019,20:30,20:45,294
N01171A,TH,17-10-2019,20:45,21:00,254
