Latitude,Longitude,Date,StartTime,EndTime,Det Flow*
57.148295,-2.099331,16/10/2019,00:00,00:15,128
57.148295,-2.099331,16/10/2019,00:15,00:30,112
57.148295,-2.099331,16/10/2019,00:30,00:45,72
57.148295,-2.099331,16/10/2019,00:45,01:00,84
57.148295,-2.099331,16/10/2019,01:00,01:15,68
57.148295,-2.099331,16/10/2019,01:15,01:30,64
57.148295,-2.099331,16/10/2019,01:30,01:45,76
57.148295,-2.099331,16/10/2019,01:45,02:00,28
57.148295,-2.099331,16/10/2019,02:00,02:15,96
57.148295,-2.099331,16/10/2019,02:15,02:30,100
57.148295,-2.099331,16/10/2019,02:30,02:45,108
57.148295,-2.099331,16/10/2019,02:45,03:00,104
57.148295,-2.099331,16/10/2019,03:00,03:15,60
57.148295,-2.099331,16/10/2019,03:15,03:30,52
57.148295,-2.099331,16/10/2019,03:30,03:45,36
57.148295,-2.099331,16/10/2019,03:45,04:00,64
57.148295,-2.099331,16/10/2019,04:00,04:15,72
57.148295,-2.099331,16/10/2019,04:15,04:30,48
57.148295,-2.099331,16/10/2019,04:30,04:45,12
57.148295,-2.099331,16/10/2019,04:45,05:00,80
57.148295,-2.099331,16/10/2019,05:00,05:15,48
57.148295,-2.099331,16/10/2019,05:15,05:30,104
57.148295,-2.099331,16/10/2019,05:30,05:45,112
57.148295,-2.099331,16/10/2019,05:45,06:00,140
57.148295,-2.099331,16/10/2019,06:00,06:15,148
57.148295,-2.099331,16/10/2019,06:15,06:30,244
57.148295,-2.099331,16/10/2019,06:30,06:45,288
57.148295,-2.099331,16/10/2019,06:45,07:00,304
57.148295,-2.099331,16/10/2019,07:00,07:15,352
57.148295,-2.099331,16/10/2019,07:15,07:30,376
57.148295,-2.099331,16/10/2019,07:30,07:45,472
57.148295,-2.099331,16/10/2019,07:45,08:00,500
57.148295,-2.099331,16/10/2019,08:00,08:15,432
57.148295,-2.099331,16/10/2019,08:15,08:30,512
57.148295,-2.099331,16/10/2019,08:30,08:45,548
57.148295,-2.099331,16/10/2019,08:45,09:00,404
57.148295,-2.099331,16/10/2019,09:00,09:15,348
57.148295,-2.099331,16/10/2019,09:15,09:30,388
57.148295,-2.099331,16/10/2019,09:30,09:45,368
57.148295,-2.099331,16/10/2019,09:45,10:00,296
57.148295,-2.099331,16/10/2019,10:00,10:15,296
57.148295,-2.099331,16/10/2019,10:15,10:30,384
