Site,Day,Date,StartTime,EndTime,Det Flow*
N01341A1,SU,19-01-2020,00:00,00:15,400
N01341A1,SU,19-01-2020,00:15,00:30,320
N01341A1,SU,19-01-2020,00:30,00:45,452
N01341A1,SU,19-01-2020,00:45,01:00,312
N01341A1,SU,19-01-2020,01:00,01:15,312
N01341A1,SU,19-01-2020,01:15,01:30,364
N01341A1,SU,19-01-2020,01:30,01:45,284
N01341A1,SU,19-01-2020,01:45,02:00,284
N01341A1,SU,19-01-2020,02:00,02:15,244
N01341A1,SU,19-01-2020,02:15,02:30,220
N01341A1,SU,19-01-2020,02:30,02:45,204
N01341A1,SU,19-01-2020,02:45,03:00,300
N01341A1,SU,19-01-2020,03:00,03:15,264
N01341A1,SU,19-01-2020,03:15,03:30,220
N01341A1,SU,19-01-2020,03:30,03:45,160
N01341A1,SU,19-01-2020,03:45,04:00,108
N01341A1,SU,19-01-2020,04:00,04:15,104
N01341A1,SU,19-01-2020,04:15,04:30,84
N01341A1,SU,19-01-2020,04:30,04:45,84
N01341A1,SU,19-01-2020,04:45,05:00,76
N01341A1,SU,19-01-2020,05:00,05:15,80
N01341A1,SU,19-01-2020,05:15,05:30,72
N01341A1,SU,19-01-2020,05:30,05:45,52
N01341A1,SU,19-01-2020,05:45,06:00,104
N01341A1,SU,19-01-2020,06:00,06:15,164
N01341A1,SU,19-01-2020,06:15,06:30,132
N01341A1,SU,19-01-2020,06:30,06:45,84
N01341A1,SU,19-01-2020,06:45,07:00,120
N01341A1,SU,19-01-2020,07:00,07:15,76
N01341A1,SU,19-01-2020,07:15,07:30,80
N01341A1,SU,19-01-2020,07:30,07:45,116
N01341A1,SU,19-01-2020,07:45,08:00,108
N01341A1,SU,19-01-2020,08:00,08:15,108
N01341A1,SU,19-01-2020,08:15,08:30,104
N01341A1,SU,19-01-2020,08:30,08:45,116
N01341A1,SU,19-01-2020,08:45,09:00,152
N01341A1,SU,19-01-2020,09:00,09:15,176
N01341A1,SU,19-01-2020,09:15,09:30,236
N01341A1,SU,19-01-2020,09:30,09:45,188
N01341A1,SU,19-01-2020,09:45,10:00,204
N01341A1,SU,19-01-2020,10:00,10:15,188
N01341A1,SU,19-01-2020,10:15,10:30,120
N01341A1,SU,19-01-2020,10:30,10:45,520
N01341A1,SU,19-01-2020,10:45,11:00,532
N01341A1,SU,19-01-2020,11:00,11:15,404
N01341A1,SU,19-01-2020,11:15,11:30,424
N01341A1,SU,19-01-2020,11:30,11:45,360
N01341A1,SU,19-01-2020,11:45,12:00,288
N01341A1,SU,19-01-2020,12:00,12:15,572
N01341A1,SU,19-01-2020,12:15,12:30,504
N01341A1,SU,19-01-2020,12:30,12:45,616
N01341A1,SU,19-01-2020,12:45,13:00,560
N01341A1,SU,19-01-2020,13:00,13:15,512
N01341A1,SU,19-01-2020,13:15,13:30,400
N01341A1,SU,19-01-2020,13:30,13:45,652
N01341A1,SU,19-01-2020,13:45,14:00,448
N01341A1,SU,19-01-2020,14:00,14:15,500
N01341A1,SU,19-01-2020,14:15,14:30,204
N01341A1,SU,19-01-2020,14:30,14:45,552
N01341A1,SU,19-01-2020,14:45,15:00,684
N01341A1,SU,19-01-2020,15:00,15:15,548
N01341A1,SU,19-01-2020,15:15,15:30,492
N01341A1,SU,19-01-2020,15:30,15:45,628
N01341A1,SU,19-01-2020,15:45,16:00,636
N01341A1,SU,19-01-2020,16:00,16:15,484
N01341A1,SU,19-01-2020,16:15,16:30,564
N01341A1,SU,19-01-2020,16:30,16:45,516
N01341A1,SU,19-01-2020,16:45,17:00,336
N01341A1,SU,19-01-2020,17:00,17:15,420
N01341A1,SU,19-01-2020,17:15,17:30,404
N01341A1,SU,19-01-2020,17:30,17:45,344
N01341A1,SU,19-01-2020,17:45,18:00,412
N01341A1,SU,19-01-2020,18:00,18:15,388
N01341A1,SU,19-01-2020,18:15,18:30,312
N01341A1,SU,19-01-2020,18:30,18:45,320
N01341A1,SU,19-01-2020,18:45,19:00,300
N01341A1,SU,19-01-2020,19:00,19:15,368
N01341A1,SU,19-01-2020,19:15,19:30,328
N01341A1,SU,19-01-2020,19:30,19:45,296
N01341A1,SU,19-01-2020,19:45,20:00,244
N01341A1,SU,19-01-2020,20:00,20:15,312
N01341A1,SU,19-01-2020,20:15,20:30,328
N01341A1,SU,19-01-2020,20:30,20:45,252
N01341A1,SU,19-01-2020,20:45,21:00,244
N01341A1,SU,19-01-2020,21:00,21:15,224
N01341A1,SU,19-01-2020,21:15,21:30,300
N01341A1,SU,19-01-2020,21:30,21:45,280
N01341A1,SU,19-01-2020,21:45,22:00,240
N01341A1,SU,19-01-2020,22:00,22:15,216
N01341A1,SU,19-01-2020,22:15,22:30,164
N01341A1,SU,19-01-2020,22:30,22:45,172
N01341A1,SU,19-01-2020,22:45,23:00,156
N01341A1,SU,19-01-2020,23:00,23:15,108
N01341A1,SU,19-01-2020,23:15,23:30,180
N01341A1,SU,19-01-2020,23:30,23:45,120
N01341A1,SU,19-01-2020,23:45,24:00,96
N01341A1,MO,20-01-2020,00:00,00:15,104
N01341A1,MO,20-01-2020,00:15,00:30,96
N01341A1,MO,20-01-2020,00:30,00:45,96
N01341A1,MO,20-01-2020,00:45,01:00,92
N01341A1,MO,20-01-2020,01:00,01:15,68
N01341A1,MO,20-01-2020,01:15,01:30,68
N01341A1,MO,20-01-2020,01:30,01:45,64
N01341A1,MO,20-01-2020,01:45,02:00,48
N01341A1,MO,20-01-2020,02:00,02:15,56
N01341A1,MO,20-01-2020,02:15,02:30,92
N01341A1,MO,20-01-2020,02:30,02:45,64
N01341A1,MO,20-01-2020,02:45,03:00,44
N01341A1,MO,20-01-2020,03:00,03:15,16
N01341A1,MO,20-01-2020,03:15,03:30,16
N01341A1,MO,20-01-2020,03:30,03:45,20
N01341A1,MO,20-01-2020,03:45,04:00,24
N01341A1,MO,20-01-2020,04:00,04:15,28
N01341A1,MO,20-01-2020,04:15,04:30,24
N01341A1,MO,20-01-2020,04:30,04:45,32
N01341A1,MO,20-01-2020,04:45,05:00,40
N01341A1,MO,20-01-2020,05:00,05:15,68
N01341A1,MO,20-01-2020,05:15,05:30,68
N01341A1,MO,20-01-2020,05:30,05:45,72
N01341A1,MO,20-01-2020,05:45,06:00,116
N01341A1,MO,20-01-2020,06:00,06:15,128
N01341A1,MO,20-01-2020,06:15,06:30,136
N01341A1,MO,20-01-2020,06:30,06:45,224
N01341A1,MO,20-01-2020,06:45,07:00,260
N01341A1,MO,20-01-2020,07:00,07:15,220
N01341A1,MO,20-01-2020,07:15,07:30,308
N01341A1,MO,20-01-2020,07:30,07:45,412
N01341A1,MO,20-01-2020,07:45,08:00,420
N01341A1,MO,20-01-2020,08:00,08:15,392
N01341A1,MO,20-01-2020,08:15,08:30,568
N01341A1,MO,20-01-2020,08:30,08:45,496
N01341A1,MO,20-01-2020,08:45,09:00,376
N01341A1,MO,20-01-2020,09:00,09:15,408
N01341A1,MO,20-01-2020,09:15,09:30,324
N01341A1,MO,20-01-2020,09:30,09:45,368
N01341A1,MO,20-01-2020,09:45,10:00,328
N01341A1,MO,20-01-2020,10:00,10:15,284
N01341A1,MO,20-01-2020,10:15,10:30,284
N01341A1,MO,20-01-2020,10:30,10:45,360
N01341A1,MO,20-01-2020,10:45,11:00,388
N01341A1,MO,20-01-2020,11:00,11:15,360
N01341A1,MO,20-01-2020,11:15,11:30,332
N01341A1,MO,20-01-2020,11:30,11:45,372
N01341A1,MO,20-01-2020,11:45,12:00,448
N01341A1,MO,20-01-2020,12:00,12:15,440
N01341A1,MO,20-01-2020,12:15,12:30,408
N01341A1,MO,20-01-2020,12:30,12:45,376
N01341A1,MO,20-01-2020,12:45,13:00,432
N01341A1,MO,20-01-2020,13:00,13:15,372
N01341A1,MO,20-01-2020,13:15,13:30,388
N01341A1,MO,20-01-2020,13:30,13:45,424
N01341A1,MO,20-01-2020,13:45,14:00,400
N01341A1,MO,20-01-2020,14:00,14:15,420
N01341A1,MO,20-01-2020,14:15,14:30,476
N01341A1,MO,20-01-2020,14:30,14:45,408
N01341A1,MO,20-01-2020,14:45,15:00,400
N01341A1,MO,20-01-2020,15:00,15:15,404
N01341A1,MO,20-01-2020,15:15,15:30,408
N01341A1,MO,20-01-2020,15:30,15:45,376
N01341A1,MO,20-01-2020,15:45,16:00,456
N01341A1,MO,20-01-2020,16:00,16:15,416
N01341A1,MO,20-01-2020,16:15,16:30,444
N01341A1,MO,20-01-2020,16:30,16:45,428
N01341A1,MO,20-01-2020,16:45,17:00,476
N01341A1,MO,20-01-2020,17:00,17:15,456
N01341A1,MO,20-01-2020,17:15,17:30,524
N01341A1,MO,20-01-2020,17:30,17:45,448
N01341A1,MO,20-01-2020,17:45,18:00,436
N01341A1,MO,20-01-2020,18:00,18:15,424
N01341A1,MO,20-01-2020,18:15,18:30,388
N01341A1,MO,20-01-2020,18:30,18:45,388
N01341A1,MO,20-01-2020,18:45,19:00,484
N01341A1,MO,20-01-2020,19:00,19:15,404
N01341A1,MO,20-01-2020,19:15,19:30,416
N01341A1,MO,20-01-2020,19:30,19:45,328
N01341A1,MO,20-01-2020,19:45,20:00,196
N01341A1,MO,20-01-2020,20:00,20:15,372
N01341A1,MO,20-01-2020,20:15,20:30,328
N01341A1,MO,20-01-2020,20:30,20:45,332
N01341A1,MO,20-01-2020,20:45,21:00,252
N01341A1,MO,20-01-2020,21:00,21:15,284
N01341A1,MO,20-01-2020,21:15,21:30,320
N01341A1,MO,20-01-2020,21:30,21:45,204
N01341A1,MO,20-01-2020,21:45,22:00,280
N01341A1,MO,20-01-2020,22:00,22:15,264
N01341A1,MO,20-01-2020,22:15,22:30,212
N01341A1,MO,20-01-2020,22:30,22:45,252
N01341A1,MO,20-01-2020,22:45,23:00,260
N01341A1,MO,20-01-2020,23:00,23:15,164
N01341A1,MO,20-01-2020,23:15,23:30,164
N01341A1,MO,20-01-2020,23:30,23:45,136
N01341A1,MO,20-01-2020,23:45,24:00,100
N01341A1,TU,21-01-2020,00:00,00:15,108
N01341A1,TU,21-01-2020,00:15,00:30,112
N01341A1,TU,21-01-2020,00:30,00:45,68
N01341A1,TU,21-01-2020,00:45,01:00,48
