Site,Day,Date,StartTime,EndTime,Det Flow*
N01111V1,WE,29-07-2020,00:00,00:15,32
N01111V1,WE,29-07-2020,00:15,00:30,8
N01111V1,WE,29-07-2020,00:30,00:45,32
N01111V1,WE,29-07-2020,00:45,01:00,20
N01111V1,WE,29-07-2020,01:00,01:15,24
N01111V1,WE,29-07-2020,01:15,01:30,16
N01111V1,WE,29-07-2020,01:30,01:45,12
N01111V1,WE,29-07-2020,01:45,02:00,12
N01111V1,WE,29-07-2020,02:00,02:15,36
N01111V1,WE,29-07-2020,02:15,02:30,12
N01111V1,WE,29-07-2020,02:30,02:45,12
N01111V1,WE,29-07-2020,02:45,03:00,16
N01111V1,WE,29-07-2020,03:00,03:15,24
N01111V1,WE,29-07-2020,03:15,03:30,0
N01111V1,WE,29-07-2020,03:30,03:45,12
N01111V1,WE,29-07-2020,03:45,04:00,0
N01111V1,WE,29-07-2020,04:00,04:15,12
N01111V1,WE,29-07-2020,04:15,04:30,20
N01111V1,WE,29-07-2020,04:30,04:45,12
N01111V1,WE,29-07-2020,04:45,05:00,28
N01111V1,WE,29-07-2020,05:00,05:15,36
N01111V1,WE,29-07-2020,05:15,05:30,28
N01111V1,WE,29-07-2020,05:30,05:45,36
N01111V1,WE,29-07-2020,05:45,06:00,68
N01111V1,WE,29-07-2020,06:00,06:15,40
N01111V1,WE,29-07-2020,06:15,06:30,52
N01111V1,WE,29-07-2020,06:30,06:45,64
N01111V1,WE,29-07-2020,06:45,07:00,100
N01111V1,WE,29-07-2020,07:00,07:15,76
N01111V1,WE,29-07-2020,07:15,07:30,92
N01111V1,WE,29-07-2020,07:30,07:45,108
N01111V1,WE,29-07-2020,07:45,08:00,112
N01111V1,WE,29-07-2020,08:00,08:15,92
N01111V1,WE,29-07-2020,08:15,08:30,132
N01111V1,WE,29-07-2020,08:30,08:45,92
N01111V1,WE,29-07-2020,08:45,09:00,160
N01111V1,WE,29-07-2020,09:00,09:15,148
N01111V1,WE,29-07-2020,09:15,09:30,100
N01111V1,WE,29-07-2020,09:30,09:45,172
N01111V1,WE,29-07-2020,09:45,10:00,140
N01111V1,WE,29-07-2020,10:00,10:15,120
N01111V1,WE,29-07-2020,10:15,10:30,120
