Site,Day,Date,StartTime,EndTime,Flow
N01171A,FR,12-07-2019,00:00,00:15,155
N01171A,FR,12-07-2019,00:15,00:30,109
N01171A,FR,12-07-2019,00:30,00:45,131
N01171A,FR,12-07-2019,00:45,01:00,99
N01171A,FR,12-07-2019,01:00,01:15,62
N01171A,FR,12-07-2019,01:15,01:30,69
N01171A,FR,12-07-2019,01:30,01:45,70
N01171A,FR,12-07-2019,01:45,02:00,66
N01171A,FR,12-07-2019,02:00,02:15,72
N01171A,FR,12-07-2019,02:15,02:30,58
N01171A,FR,12-07-2019,02:30,02:45,64
N01171A,FR,12-07-2019,02:45,03:00,64
N01171A,FR,12-07-2019,03:00,03:15,103
N01171A,FR,12-07-2019,03:15,03:30,53
N01171A,FR,12-07-2019,03:30,03:45,51
N01171A,FR,12-07-2019,03:45,04:00,96
N01171A,FR,12-07-2019,04:00,04:15,70
N01171A,FR,12-07-2019,04:15,04:30,60
N01171A,FR,12-07-2019,04:30,04:45,76
N01171A,FR,12-07-2019,04:45,05:00,109
N01171A,FR,12-07-2019,05:00,05:15,76
N01171A,FR,12-07-2019,05:15,05:30,99
N01171A,FR,12-07-2019,05:30,05:45,116
N01171A,FR,12-07-2019,05:45,06:00,165
N01171A,FR,12-07-2019,06:00,06:15,145
N01171A,FR,12-07-2019,06:15,06:30,273
N01171A,FR,12-07-2019,06:30,06:45,286
N01171A,FR,12-07-2019,06:45,07:00,273
N01171A,FR,12-07-2019,07:00,07:15,353
N01171A,FR,12-07-2019,07:15,07:30,403
N01171A,FR,12-07-2019,07:30,07:45,415
N01171A,FR,12-07-2019,07:45,08:00,490
N01171A,FR,12-07-2019,08:00,08:15,562
N01171A,FR,12-07-2019,08:15,08:30,622
N01171A,FR,12-07-2019,08:30,08:45,433
N01171A,FR,12-07-2019,08:45,09:00,607
N01171A,FR,12-07-2019,09:00,09:15,459
N01171A,FR,12-07-2019,09:15,09:30,566
N01171A,FR,12-07-2019,09:30,09:45,400
