Site,Day,Date,StartTime,EndTime,Det Flow*
N01111V1,FR,24-04-2020,00:00,00:15,36
N01111V1,FR,24-04-2020,00:15,00:30,28
N01111V1,FR,24-04-2020,00:30,00:45,12
N01111V1,FR,24-04-2020,00:45,01:00,28
N01111V1,FR,24-04-2020,01:00,01:15,24
N01111V1,FR,24-04-2020,01:15,01:30,16
N01111V1,FR,24-04-2020,01:30,01:45,12
N01111V1,FR,24-04-2020,01:45,02:00,16
N01111V1,FR,24-04-2020,02:00,02:15,8
N01111V1,FR,24-04-2020,02:15,02:30,12
N01111V1,FR,24-04-2020,02:30,02:45,20
N01111V1,FR,24-04-2020,02:45,03:00,0
N01111V1,FR,24-04-2020,03:00,03:15,12
N01111V1,FR,24-04-2020,03:15,03:30,24
N01111V1,FR,24-04-2020,03:30,03:45,4
N01111V1,FR,24-04-2020,03:45,04:00,20
N01111V1,FR,24-04-2020,04:00,04:15,8
N01111V1,FR,24-04-2020,04:15,04:30,24
N01111V1,FR,24-04-2020,04:30,04:45,20
N01111V1,FR,24-04-2020,04:45,05:00,20
N01111V1,FR,24-04-2020,05:00,05:15,32
N01111V1,FR,24-04-2020,05:15,05:30,48
N01111V1,FR,24-04-2020,05:30,05:45,64
N01111V1,FR,24-04-2020,05:45,06:00,56
N01111V1,FR,24-04-2020,06:00,06:15,52
N01111V1,FR,24-04-2020,06:15,06:30,88
N01111V1,FR,24-04-2020,06:30,06:45,104
N01111V1,FR,24-04-2020,06:45,07:00,188
N01111V1,FR,24-04-2020,07:00,07:15,124
N01111V1,FR,24-04-2020,07:15,07:30,132
N01111V1,FR,24-04-2020,07:30,07:45,152
N01111V1,FR,24-04-2020,07:45,08:00,140
N01111V1,FR,24-04-2020,08:00,08:15,148
N01111V1,FR,24-04-2020,08:15,08:30,152
N01111V1,FR,24-04-2020,08:30,08:45,164
N01111V1,FR,24-04-2020,08:45,09:00,172
N01111V1,FR,24-04-2020,09:00,09:15,192
N01111V1,FR,24-04-2020,09:15,09:30,176
N01111V1,FR,24-04-2020,09:30,09:45,192
N01111V1,FR,24-04-2020,09:45,10:00,236
N01111V1,FR,24-04-2020,10:00,10:15,248
N01111V1,FR,24-04-2020,10:15,10:30,200
N01111V1,FR,24-04-2020,10:30,10:45,228
N01111V1,FR,24-04-2020,10:45,11:00,280
N01111V1,FR,24-04-2020,11:00,11:15,244
N01111V1,FR,24-04-2020,11:15,11:30,276
N01111V1,FR,24-04-2020,11:30,11:45,244
N01111V1,FR,24-04-2020,11:45,12:00,292
N01111V1,FR,24-04-2020,12:00,12:15,264
N01111V1,FR,24-04-2020,12:15,12:30,260
N01111V1,FR,24-04-2020,12:30,12:45,244
N01111V1,FR,24-04-2020,12:45,13:00,304
N01111V1,FR,24-04-2020,13:00,13:15,272
N01111V1,FR,24-04-2020,13:15,13:30,220
N01111V1,FR,24-04-2020,13:30,13:45,228
N01111V1,FR,24-04-2020,13:45,14:00,240
N01111V1,FR,24-04-2020,14:00,14:15,324
N01111V1,FR,24-04-2020,14:15,14:30,252
N01111V1,FR,24-04-2020,14:30,14:45,320
N01111V1,FR,24-04-2020,14:45,15:00,272
