Site,Day,Date,StartTime,EndTime,Flow
N01171A,TH,30-07-2020,07:45,08:00,90
N01171A,TH,30-07-2020,08:00,08:15,124
N01171A,TH,30-07-2020,08:15,08:30,144
N01171A,TH,30-07-2020,08:30,08:45,124
N01171A,TH,30-07-2020,08:45,09:00,130
N01171A,TH,30-07-2020,09:00,09:15,122
N01171A,TH,30-07-2020,09:15,09:30,126
N01171A,TH,30-07-2020,09:30,09:45,143
N01171A,TH,30-07-2020,09:45,10:00,137
N01171A,TH,30-07-2020,10:00,10:15,164
N01171A,TH,30-07-2020,10:15,10:30,99
N01171A,TH,30-07-2020,10:30,10:45,179
N01171A,TH,30-07-2020,10:45,11:00,152
N01171A,TH,30-07-2020,11:00,11:15,186
N01171A,TH,30-07-2020,11:15,11:30,180
N01171A,TH,30-07-2020,11:30,11:45,149
N01171A,TH,30-07-2020,11:45,12:00,168
N01171A,TH,30-07-2020,12:00,12:15,192
N01171A,TH,30-07-2020,12:15,12:30,192
N01171A,TH,30-07-2020,12:30,12:45,179
N01171A,TH,30-07-2020,12:45,13:00,199
N01171A,TH,30-07-2020,13:00,13:15,199
N01171A,TH,30-07-2020,13:15,13:30,154
N01171A,TH,30-07-2020,13:30,13:45,183
N01171A,TH,30-07-2020,13:45,14:00,212
N01171A,TH,30-07-2020,14:00,14:15,184
N01171A,TH,30-07-2020,14:15,14:30,209
N01171A,TH,30-07-2020,14:30,14:45,132
N01171A,TH,30-07-2020,14:45,15:00,244
N01171A,TH,30-07-2020,15:00,15:15,160
N01171A,TH,30-07-2020,15:15,15:30,223
N01171A,TH,30-07-2020,15:30,15:45,175
N01171A,TH,30-07-2020,15:45,16:00,182
N01171A,TH,30-07-2020,16:00,16:15,134
N01171A,TH,30-07-2020,16:15,16:30,231
N01171A,TH,30-07-2020,16:30,16:45,180
N01171A,TH,30-07-2020,16:45,17:00,170
N01171A,TH,30-07-2020,17:00,17:15,132
N01171A,TH,30-07-2020,17:15,17:30,210
N01171A,TH,30-07-2020,17:30,17:45,150
N01171A,TH,30-07-2020,17:45,18:00,120
N01171A,TH,30-07-2020,18:00,18:15,125
N01171A,TH,30-07-2020,18:15,18:30,104
N01171A,TH,30-07-2020,18:30,18:45,131
N01171A,TH,30-07-2020,18:45,19:00,121
N01171A,TH,30-07-2020,19:00,19:15,139
N01171A,TH,30-07-2020,19:15,19:30,118
N01171A,TH,30-07-2020,19:30,19:45,128
N01171A,TH,30-07-2020,19:45,20:00,144
N01171A,TH,30-07-2020,20:00,20:15,101
N01171A,TH,30-07-2020,20:15,20:30,101
N01171A,TH,30-07-2020,20:30,20:45,119
N01171A,TH,30-07-2020,20:45,21:00,116
N01171A,TH,30-07-2020,21:00,21:15,69
N01171A,TH,30-07-2020,21:15,21:30,97
N01171A,TH,30-07-2020,21:30,21:45,114
N01171A,TH,30-07-2020,21:45,22:00,42
N01171A,TH,30-07-2020,22:00,22:15,57
N01171A,TH,30-07-2020,22:15,22:30,88
N01171A,TH,30-07-2020,22:30,22:45,87
N01171A,TH,30-07-2020,22:45,23:00,66
N01171A,TH,30-07-2020,23:00,23:15,60
N01171A,TH,30-07-2020,23:15,23:30,47
N01171A,TH,30-07-2020,23:30,23:45,28
N01171A,TH,30-07-2020,23:45,24:00,73
N01171A,FR,31-07-2020,00:00,00:15,72
N01171A,FR,31-07-2020,00:15,00:30,37
N01171A,FR,31-07-2020,00:30,00:45,31
N01171A,FR,31-07-2020,00:45,01:00,33
N01171A,FR,31-07-2020,01:00,01:15,44
N01171A,FR,31-07-2020,01:15,01:30,50
N01171A,FR,31-07-2020,01:30,01:45,21
N01171A,FR,31-07-2020,01:45,02:00,11
N01171A,FR,31-07-2020,02:00,02:15,21
N01171A,FR,31-07-2020,02:15,02:30,21
N01171A,FR,31-07-2020,02:30,02:45,25
N01171A,FR,31-07-2020,02:45,03:00,13
N01171A,FR,31-07-2020,03:00,03:15,22
N01171A,FR,31-07-2020,03:15,03:30,7
N01171A,FR,31-07-2020,03:30,03:45,28
N01171A,FR,31-07-2020,03:45,04:00,25
N01171A,FR,31-07-2020,04:00,04:15,0
N01171A,FR,31-07-2020,04:15,04:30,15
