Site,Day,Date,StartTime,EndTime,Det Flow*
N01131D1,WE,29-07-2020,00:00,00:15,32
N01131D1,WE,29-07-2020,00:15,00:30,24
N01131D1,WE,29-07-2020,00:30,00:45,24
N01131D1,WE,29-07-2020,00:45,01:00,36
N01131D1,WE,29-07-2020,01:00,01:15,20
N01131D1,WE,29-07-2020,01:15,01:30,12
N01131D1,WE,29-07-2020,01:30,01:45,8
N01131D1,WE,29-07-2020,01:45,02:00,20
N01131D1,WE,29-07-2020,02:00,02:15,4
N01131D1,WE,29-07-2020,02:15,02:30,20
N01131D1,WE,29-07-2020,02:30,02:45,16
N01131D1,WE,29-07-2020,02:45,03:00,16
N01131D1,WE,29-07-2020,03:00,03:15,12
N01131D1,WE,29-07-2020,03:15,03:30,8
N01131D1,WE,29-07-2020,03:30,03:45,16
N01131D1,WE,29-07-2020,03:45,04:00,8
N01131D1,WE,29-07-2020,04:00,04:15,4
N01131D1,WE,29-07-2020,04:15,04:30,8
N01131D1,WE,29-07-2020,04:30,04:45,16
N01131D1,WE,29-07-2020,04:45,05:00,4
N01131D1,WE,29-07-2020,05:00,05:15,20
N01131D1,WE,29-07-2020,05:15,05:30,16
N01131D1,WE,29-07-2020,05:30,05:45,4
N01131D1,WE,29-07-2020,05:45,06:00,40
N01131D1,WE,29-07-2020,06:00,06:15,28
N01131D1,WE,29-07-2020,06:15,06:30,24
N01131D1,WE,29-07-2020,06:30,06:45,24
N01131D1,WE,29-07-2020,06:45,07:00,60
N01131D1,WE,29-07-2020,07:00,07:15,32
N01131D1,WE,29-07-2020,07:15,07:30,60
N01131D1,WE,29-07-2020,07:30,07:45,36
N01131D1,WE,29-07-2020,07:45,08:00,88
N01131D1,WE,29-07-2020,08:00,08:15,52
N01131D1,WE,29-07-2020,08:15,08:30,88
N01131D1,WE,29-07-2020,08:30,08:45,84
N01131D1,WE,29-07-2020,08:45,09:00,88
N01131D1,WE,29-07-2020,09:00,09:15,96
N01131D1,WE,29-07-2020,09:15,09:30,88
N01131D1,WE,29-07-2020,09:30,09:45,96
N01131D1,WE,29-07-2020,09:45,10:00,96
N01131D1,WE,29-07-2020,10:00,10:15,148
N01131D1,WE,29-07-2020,10:15,10:30,108
N01131D1,WE,29-07-2020,10:30,10:45,92
N01131D1,WE,29-07-2020,10:45,11:00,88
N01131D1,WE,29-07-2020,11:00,11:15,96
N01131D1,WE,29-07-2020,11:15,11:30,80
N01131D1,WE,29-07-2020,11:30,11:45,136
N01131D1,WE,29-07-2020,11:45,12:00,172
N01131D1,WE,29-07-2020,12:00,12:15,140
N01131D1,WE,29-07-2020,12:15,12:30,104
N01131D1,WE,29-07-2020,12:30,12:45,128
N01131D1,WE,29-07-2020,12:45,13:00,108
N01131D1,WE,29-07-2020,13:00,13:15,120
N01131D1,WE,29-07-2020,13:15,13:30,180
N01131D1,WE,29-07-2020,13:30,13:45,136
N01131D1,WE,29-07-2020,13:45,14:00,124
N01131D1,WE,29-07-2020,14:00,14:15,124
N01131D1,WE,29-07-2020,14:15,14:30,112
N01131D1,WE,29-07-2020,14:30,14:45,140
N01131D1,WE,29-07-2020,14:45,15:00,168
N01131D1,WE,29-07-2020,15:00,15:15,116
N01131D1,WE,29-07-2020,15:15,15:30,136
N01131D1,WE,29-07-2020,15:30,15:45,116
N01131D1,WE,29-07-2020,15:45,16:00,168
N01131D1,WE,29-07-2020,16:00,16:15,164
N01131D1,WE,29-07-2020,16:15,16:30,160
N01131D1,WE,29-07-2020,16:30,16:45,116
N01131D1,WE,29-07-2020,16:45,17:00,128
N01131D1,WE,29-07-2020,17:00,17:15,164
N01131D1,WE,29-07-2020,17:15,17:30,148
N01131D1,WE,29-07-2020,17:30,17:45,140
N01131D1,WE,29-07-2020,17:45,18:00,128
N01131D1,WE,29-07-2020,18:00,18:15,168
N01131D1,WE,29-07-2020,18:15,18:30,132
N01131D1,WE,29-07-2020,18:30,18:45,100
N01131D1,WE,29-07-2020,18:45,19:00,128
N01131D1,WE,29-07-2020,19:00,19:15,48
N01131D1,WE,29-07-2020,19:15,19:30,76
N01131D1,WE,29-07-2020,19:30,19:45,56
N01131D1,WE,29-07-2020,19:45,20:00,56
N01131D1,WE,29-07-2020,20:00,20:15,64
