Site,Day,Date,StartTime,EndTime,Flow
N01171A,SU,19-01-2020,00:00,00:15,283
N01171A,SU,19-01-2020,00:15,00:30,235
N01171A,SU,19-01-2020,00:30,00:45,330
N01171A,SU,19-01-2020,00:45,01:00,321
N01171A,SU,19-01-2020,01:00,01:15,272
N01171A,SU,19-01-2020,01:15,01:30,275
N01171A,SU,19-01-2020,01:30,01:45,210
N01171A,SU,19-01-2020,01:45,02:00,248
N01171A,SU,19-01-2020,02:00,02:15,190
N01171A,SU,19-01-2020,02:15,02:30,250
N01171A,SU,19-01-2020,02:30,02:45,251
N01171A,SU,19-01-2020,02:45,03:00,253
N01171A,SU,19-01-2020,03:00,03:15,202
N01171A,SU,19-01-2020,03:15,03:30,228
N01171A,SU,19-01-2020,03:30,03:45,264
N01171A,SU,19-01-2020,03:45,04:00,180
N01171A,SU,19-01-2020,04:00,04:15,182
N01171A,SU,19-01-2020,04:15,04:30,185
N01171A,SU,19-01-2020,04:30,04:45,80
N01171A,SU,19-01-2020,04:45,05:00,101
N01171A,SU,19-01-2020,05:00,05:15,127
N01171A,SU,19-01-2020,05:15,05:30,100
N01171A,SU,19-01-2020,05:30,05:45,150
N01171A,SU,19-01-2020,05:45,06:00,139
N01171A,SU,19-01-2020,06:00,06:15,113
N01171A,SU,19-01-2020,06:15,06:30,169
N01171A,SU,19-01-2020,06:30,06:45,108
N01171A,SU,19-01-2020,06:45,07:00,126
N01171A,SU,19-01-2020,07:00,07:15,83
N01171A,SU,19-01-2020,07:15,07:30,107
N01171A,SU,19-01-2020,07:30,07:45,98
N01171A,SU,19-01-2020,17:45,18:00,315
N01171A,SU,19-01-2020,18:00,18:15,319
N01171A,SU,19-01-2020,18:15,18:30,249
N01171A,SU,19-01-2020,18:30,18:45,270
N01171A,SU,19-01-2020,18:45,19:00,294
N01171A,SU,19-01-2020,19:00,19:15,380
N01171A,SU,19-01-2020,19:15,19:30,243
N01171A,SU,19-01-2020,19:30,19:45,256
N01171A,SU,19-01-2020,19:45,20:00,244
N01171A,SU,19-01-2020,20:00,20:15,266
N01171A,SU,19-01-2020,20:15,20:30,242
N01171A,SU,19-01-2020,20:30,20:45,229
N01171A,SU,19-01-2020,20:45,21:00,206
N01171A,SU,19-01-2020,21:00,21:15,233
N01171A,SU,19-01-2020,21:15,21:30,244
N01171A,SU,19-01-2020,21:30,21:45,206
N01171A,SU,19-01-2020,21:45,22:00,180
N01171A,SU,19-01-2020,22:00,22:15,198
N01171A,SU,19-01-2020,22:15,22:30,134
N01171A,SU,19-01-2020,22:30,22:45,150
N01171A,SU,19-01-2020,22:45,23:00,170
N01171A,SU,19-01-2020,23:00,23:15,145
N01171A,SU,19-01-2020,23:15,23:30,104
N01171A,SU,19-01-2020,23:30,23:45,112
N01171A,SU,19-01-2020,23:45,24:00,89
N01171A,MO,20-01-2020,00:00,00:15,94
N01171A,MO,20-01-2020,00:15,00:30,99
N01171A,MO,20-01-2020,00:30,00:45,79
N01171A,MO,20-01-2020,00:45,01:00,70
N01171A,MO,20-01-2020,01:00,01:15,48
N01171A,MO,20-01-2020,01:15,01:30,53
N01171A,MO,20-01-2020,01:30,01:45,82
N01171A,MO,20-01-2020,01:45,02:00,50
N01171A,MO,20-01-2020,02:00,02:15,78
N01171A,MO,20-01-2020,02:15,02:30,50
N01171A,MO,20-01-2020,02:30,02:45,63
N01171A,MO,20-01-2020,02:45,03:00,23
N01171A,MO,20-01-2020,03:00,03:15,31
N01171A,MO,20-01-2020,03:15,03:30,26
N01171A,MO,20-01-2020,03:30,03:45,29
N01171A,MO,20-01-2020,03:45,04:00,36
N01171A,MO,20-01-2020,04:00,04:15,58
N01171A,MO,20-01-2020,04:15,04:30,58
N01171A,MO,20-01-2020,04:30,04:45,32
N01171A,MO,20-01-2020,04:45,05:00,105
N01171A,MO,20-01-2020,05:00,05:15,123
N01171A,MO,20-01-2020,05:15,05:30,91
N01171A,MO,20-01-2020,05:30,05:45,113
N01171A,MO,20-01-2020,05:45,06:00,153
N01171A,MO,20-01-2020,06:00,06:15,125
N01171A,MO,20-01-2020,06:15,06:30,211
N01171A,MO,20-01-2020,06:30,06:45,341
N01171A,MO,20-01-2020,06:45,07:00,399
N01171A,MO,20-01-2020,07:00,07:15,342
N01171A,MO,20-01-2020,07:15,07:30,446
N01171A,MO,20-01-2020,07:30,07:45,444
N01171A,MO,20-01-2020,07:45,08:00,608
N01171A,MO,20-01-2020,08:00,08:15,530
N01171A,MO,20-01-2020,08:15,08:30,641
N01171A,MO,20-01-2020,08:30,08:45,547
N01171A,MO,20-01-2020,08:45,09:00,524
N01171A,MO,20-01-2020,09:00,09:15,460
N01171A,MO,20-01-2020,09:15,09:30,375
N01171A,MO,20-01-2020,09:30,09:45,344
N01171A,MO,20-01-2020,09:45,10:00,320
N01171A,MO,20-01-2020,10:00,10:15,386
N01171A,MO,20-01-2020,10:15,10:30,294
N01171A,MO,20-01-2020,10:30,10:45,337
N01171A,MO,20-01-2020,10:45,11:00,491
N01171A,MO,20-01-2020,11:00,11:15,357
N01171A,MO,20-01-2020,11:15,11:30,363
N01171A,MO,20-01-2020,11:30,11:45,343
N01171A,MO,20-01-2020,11:45,12:00,407
N01171A,MO,20-01-2020,12:00,12:15,398
N01171A,MO,20-01-2020,12:15,12:30,335
N01171A,MO,20-01-2020,12:30,12:45,280
N01171A,MO,20-01-2020,12:45,13:00,418
N01171A,MO,20-01-2020,13:00,13:15,423
N01171A,MO,20-01-2020,13:15,13:30,431
N01171A,MO,20-01-2020,13:30,13:45,344
N01171A,MO,20-01-2020,13:45,14:00,366
N01171A,MO,20-01-2020,14:00,14:15,398
N01171A,MO,20-01-2020,14:15,14:30,483
N01171A,MO,20-01-2020,14:30,14:45,427
N01171A,MO,20-01-2020,14:45,15:00,429
N01171A,MO,20-01-2020,15:00,15:15,423
N01171A,MO,20-01-2020,15:15,15:30,381
N01171A,MO,20-01-2020,15:30,15:45,353
N01171A,MO,20-01-2020,15:45,16:00,471
N01171A,MO,20-01-2020,16:00,16:15,316
N01171A,MO,20-01-2020,16:15,16:30,536
N01171A,MO,20-01-2020,16:30,16:45,488
N01171A,MO,20-01-2020,16:45,17:00,488
N01171A,MO,20-01-2020,17:00,17:15,460
N01171A,MO,20-01-2020,17:15,17:30,457
N01171A,MO,20-01-2020,17:30,17:45,419
N01171A,MO,20-01-2020,17:45,18:00,427
N01171A,MO,20-01-2020,18:00,18:15,375
N01171A,MO,20-01-2020,18:15,18:30,305
N01171A,MO,20-01-2020,18:30,18:45,477
N01171A,MO,20-01-2020,18:45,19:00,445
N01171A,MO,20-01-2020,19:00,19:15,401
N01171A,MO,20-01-2020,19:15,19:30,361
N01171A,MO,20-01-2020,19:30,19:45,322
N01171A,MO,20-01-2020,19:45,20:00,211
N01171A,MO,20-01-2020,20:00,20:15,351
N01171A,MO,20-01-2020,20:15,20:30,305
N01171A,MO,20-01-2020,20:30,20:45,300
N01171A,MO,20-01-2020,20:45,21:00,248
N01171A,MO,20-01-2020,21:00,21:15,262
N01171A,MO,20-01-2020,21:15,21:30,267
N01171A,MO,20-01-2020,21:30,21:45,264
N01171A,MO,20-01-2020,21:45,22:00,255
N01171A,MO,20-01-2020,22:00,22:15,174
N01171A,MO,20-01-2020,22:15,22:30,161
N01171A,MO,20-01-2020,22:30,22:45,152
N01171A,MO,20-01-2020,22:45,23:00,181
N01171A,MO,20-01-2020,23:00,23:15,135
N01171A,MO,20-01-2020,23:15,23:30,106
N01171A,MO,20-01-2020,23:30,23:45,146
N01171A,MO,20-01-2020,23:45,24:00,86
N01171A,TU,21-01-2020,00:00,00:15,73
N01171A,TU,21-01-2020,00:15,00:30,110
N01171A,TU,21-01-2020,00:30,00:45,97
N01171A,TU,21-01-2020,00:45,01:00,65
N01171A,TU,21-01-2020,01:00,01:15,86
N01171A,TU,21-01-2020,01:15,01:30,51
N01171A,TU,21-01-2020,01:30,01:45,51
N01171A,TU,21-01-2020,01:45,02:00,57
N01171A,TU,21-01-2020,02:00,02:15,55
N01171A,TU,21-01-2020,02:15,02:30,48
N01171A,TU,21-01-2020,02:30,02:45,91
N01171A,TU,21-01-2020,02:45,03:00,56
N01171A,TU,21-01-2020,03:00,03:15,57
N01171A,TU,21-01-2020,03:15,03:30,63
N01171A,TU,21-01-2020,03:30,03:45,34
N01171A,TU,21-01-2020,03:45,04:00,52
N01171A,TU,21-01-2020,04:00,04:15,38
N01171A,TU,21-01-2020,04:15,04:30,45
N01171A,TU,21-01-2020,04:30,04:45,61
N01171A,TU,21-01-2020,04:45,05:00,89
N01171A,TU,21-01-2020,05:00,05:15,89
N01171A,TU,21-01-2020,05:15,05:30,99
N01171A,TU,21-01-2020,05:30,05:45,143
N01171A,TU,21-01-2020,05:45,06:00,129
N01171A,TU,21-01-2020,06:00,06:15,114
N01171A,TU,21-01-2020,06:15,06:30,129
N01171A,TU,21-01-2020,06:30,06:45,302
N01171A,TU,21-01-2020,06:45,07:00,390
N01171A,TU,21-01-2020,07:00,07:15,392
N01171A,TU,21-01-2020,07:15,07:30,475
N01171A,TU,21-01-2020,07:30,07:45,547
N01171A,TU,21-01-2020,07:45,08:00,506
N01171A,TU,21-01-2020,08:00,08:15,550
N01171A,TU,21-01-2020,08:15,08:30,620
N01171A,TU,21-01-2020,08:30,08:45,636
N01171A,TU,21-01-2020,08:45,09:00,499
N01171A,TU,21-01-2020,09:00,09:15,428
N01171A,TU,21-01-2020,09:15,09:30,346
N01171A,TU,21-01-2020,09:30,09:45,485
N01171A,TU,21-01-2020,09:45,10:00,533
N01171A,TU,21-01-2020,10:00,10:15,359
N01171A,TU,21-01-2020,10:15,10:30,316
N01171A,TU,21-01-2020,10:30,10:45,391
N01171A,TU,21-01-2020,10:45,11:00,559
N01171A,TU,21-01-2020,11:00,11:15,319
N01171A,TU,21-01-2020,11:15,11:30,416
N01171A,TU,21-01-2020,11:30,11:45,410
N01171A,TU,21-01-2020,11:45,12:00,419
N01171A,TU,21-01-2020,12:00,12:15,403
N01171A,TU,21-01-2020,12:15,12:30,423
N01171A,TU,21-01-2020,12:30,12:45,362
N01171A,TU,21-01-2020,12:45,13:00,526
N01171A,TU,21-01-2020,13:00,13:15,314
N01171A,TU,21-01-2020,13:15,13:30,357
N01171A,TU,21-01-2020,13:30,13:45,427
N01171A,TU,21-01-2020,13:45,14:00,381
N01171A,TU,21-01-2020,14:00,14:15,503
N01171A,TU,21-01-2020,14:15,14:30,336
N01171A,TU,21-01-2020,14:30,14:45,385
N01171A,TU,21-01-2020,14:45,15:00,459
N01171A,TU,21-01-2020,15:00,15:15,347
N01171A,TU,21-01-2020,15:15,15:30,479
N01171A,TU,21-01-2020,15:30,15:45,488
N01171A,TU,21-01-2020,15:45,16:00,520
N01171A,TU,21-01-2020,16:00,16:15,418
N01171A,TU,21-01-2020,16:15,16:30,478
N01171A,TU,21-01-2020,16:30,16:45,464
N01171A,TU,21-01-2020,16:45,17:00,502
N01171A,TU,21-01-2020,17:00,17:15,386
N01171A,TU,21-01-2020,17:15,17:30,503
N01171A,TU,21-01-2020,17:30,17:45,479
N01171A,TU,21-01-2020,17:45,18:00,410
N01171A,TU,21-01-2020,18:00,18:15,493
N01171A,TU,21-01-2020,18:15,18:30,379
N01171A,TU,21-01-2020,18:30,18:45,337
N01171A,TU,21-01-2020,18:45,19:00,428
N01171A,TU,21-01-2020,19:00,19:15,417
N01171A,TU,21-01-2020,19:15,19:30,398
N01171A,TU,21-01-2020,19:30,19:45,355
N01171A,TU,21-01-2020,19:45,20:00,305
N01171A,TU,21-01-2020,20:00,20:15,293
N01171A,TU,21-01-2020,20:15,20:30,310
N01171A,TU,21-01-2020,20:30,20:45,303
N01171A,TU,21-01-2020,20:45,21:00,263
N01171A,TU,21-01-2020,21:00,21:15,274
N01171A,TU,21-01-2020,21:15,21:30,317
N01171A,TU,21-01-2020,21:30,21:45,281
N01171A,TU,21-01-2020,21:45,22:00,203
N01171A,TU,21-01-2020,22:00,22:15,242
N01171A,TU,21-01-2020,22:15,22:30,224
N01171A,TU,21-01-2020,22:30,22:45,165
N01171A,TU,21-01-2020,22:45,23:00,142
N01171A,TU,21-01-2020,23:00,23:15,122
N01171A,TU,21-01-2020,23:15,23:30,156
N01171A,TU,21-01-2020,23:30,23:45,143
N01171A,TU,21-01-2020,23:45,24:00,165
N01171A,WE,22-01-2020,00:00,00:15,131
N01171A,WE,22-01-2020,00:15,00:30,117
N01171A,WE,22-01-2020,00:30,00:45,124
N01171A,WE,22-01-2020,00:45,01:00,88
N01171A,WE,22-01-2020,01:00,01:15,49
N01171A,WE,22-01-2020,01:15,01:30,87
N01171A,WE,22-01-2020,01:30,01:45,108
N01171A,WE,22-01-2020,01:45,02:00,75
N01171A,WE,22-01-2020,02:00,02:15,98
N01171A,WE,22-01-2020,02:15,02:30,113
N01171A,WE,22-01-2020,02:30,02:45,121
N01171A,WE,22-01-2020,02:45,03:00,108
N01171A,WE,22-01-2020,03:00,03:15,88
N01171A,WE,22-01-2020,03:15,03:30,59
N01171A,WE,22-01-2020,03:30,03:45,33
N01171A,WE,22-01-2020,03:45,04:00,52
N01171A,WE,22-01-2020,04:00,04:15,59
N01171A,WE,22-01-2020,04:15,04:30,21
N01171A,WE,22-01-2020,04:30,04:45,60
N01171A,WE,22-01-2020,04:45,05:00,99
N01171A,WE,22-01-2020,05:00,05:15,90
N01171A,WE,22-01-2020,05:15,05:30,129
N01171A,WE,22-01-2020,05:30,05:45,144
N01171A,WE,22-01-2020,05:45,06:00,149
N01171A,WE,22-01-2020,06:00,06:15,130
N01171A,WE,22-01-2020,06:15,06:30,204
N01171A,WE,22-01-2020,06:30,06:45,279
N01171A,WE,22-01-2020,06:45,07:00,394
N01171A,WE,22-01-2020,07:00,07:15,416
