Site,Day,Date,StartTime,EndTime,Amount
57.143297,-2.102138,01/01/2019,00:00,00:15,76
57.143297,-2.102138,01/01/2019,00:15,00:30,52
57.143297,-2.102138,01/01/2019,00:30,00:45,40
57.143297,-2.102138,01/01/2019,00:45,01:00,88
57.143297,-2.102138,01/01/2019,01:00,01:15,28
57.143297,-2.102138,01/01/2019,01:15,01:30,64
57.143297,-2.102138,01/01/2019,01:30,01:45,56
57.143297,-2.102138,01/01/2019,01:45,02:00,52
57.143297,-2.102138,01/01/2019,02:00,02:15,68
57.143297,-2.102138,01/01/2019,02:15,02:30,64
57.143297,-2.102138,01/01/2019,02:30,02:45,48
57.143297,-2.102138,01/01/2019,02:45,03:00,72
57.143297,-2.102138,01/01/2019,03:00,03:15,60
57.143297,-2.102138,01/01/2019,03:15,03:30,60
57.143297,-2.102138,01/01/2019,03:30,03:45,68
57.143297,-2.102138,01/01/2019,03:45,04:00,40
57.143297,-2.102138,01/01/2019,04:00,04:15,64
57.143297,-2.102138,01/01/2019,04:15,04:30,68
57.143297,-2.102138,01/01/2019,04:30,04:45,60
57.143297,-2.102138,01/01/2019,04:45,05:00,56
57.143297,-2.102138,01/01/2019,05:00,05:15,28
57.143297,-2.102138,01/01/2019,05:15,05:30,0
57.143297,-2.102138,01/01/2019,05:30,05:45,28
57.143297,-2.102138,01/01/2019,05:45,06:00,24
57.143297,-2.102138,01/01/2019,06:00,06:15,28
57.143297,-2.102138,01/01/2019,06:15,06:30,12
57.143297,-2.102138,01/01/2019,06:30,06:45,24
57.143297,-2.102138,01/01/2019,06:45,07:00,28
57.143297,-2.102138,01/01/2019,07:00,07:15,24
57.143297,-2.102138,01/01/2019,07:15,07:30,4
57.143297,-2.102138,01/01/2019,07:30,07:45,24
57.143297,-2.102138,01/01/2019,07:45,08:00,16
57.143297,-2.102138,01/01/2019,08:00,08:15,60
57.143297,-2.102138,01/01/2019,08:15,08:30,12
57.143297,-2.102138,01/01/2019,08:30,08:45,24
57.143297,-2.102138,01/01/2019,08:45,09:00,24
57.143297,-2.102138,01/01/2019,09:00,09:15,24
57.143297,-2.102138,01/01/2019,09:15,09:30,12
57.143297,-2.102138,01/01/2019,09:30,09:45,28
57.143297,-2.102138,01/01/2019,09:45,10:00,24
57.143297,-2.102138,01/01/2019,10:00,10:15,24
57.143297,-2.102138,01/01/2019,10:15,10:30,28
57.143297,-2.102138,01/01/2019,10:30,10:45,28
57.143297,-2.102138,01/01/2019,10:45,11:00,32
57.143297,-2.102138,01/01/2019,11:00,11:15,52
57.143297,-2.102138,01/01/2019,11:15,11:30,4
57.143297,-2.102138,01/01/2019,11:30,11:45,28
57.143297,-2.102138,01/01/2019,11:45,12:00,16
57.143297,-2.102138,01/01/2019,12:00,12:15,20
57.143297,-2.102138,01/01/2019,12:15,12:30,56
57.143297,-2.102138,01/01/2019,12:30,12:45,24
57.143297,-2.102138,01/01/2019,12:45,13:00,28
57.143297,-2.102138,01/01/2019,13:00,13:15,24
57.143297,-2.102138,01/01/2019,13:15,13:30,32
57.143297,-2.102138,01/01/2019,13:30,13:45,32
57.143297,-2.102138,01/01/2019,13:45,14:00,8
57.143297,-2.102138,01/01/2019,14:00,14:15,16
57.143297,-2.102138,01/01/2019,14:15,14:30,28
57.143297,-2.102138,01/01/2019,14:30,14:45,8
57.143297,-2.102138,01/01/2019,14:45,15:00,16
57.143297,-2.102138,01/01/2019,15:00,15:15,20
57.143297,-2.102138,01/01/2019,15:15,15:30,28
57.143297,-2.102138,01/01/2019,15:30,15:45,32
57.143297,-2.102138,01/01/2019,15:45,16:00,24
57.143297,-2.102138,01/01/2019,16:00,16:15,32
